Drugs,Genes,Pathways
"['Dasatinib', 'Nilotinib']",ABL1,"['ErbB signaling pathway', 'Ras signaling pathway', 'Neurotrophin signaling pathway', 'Cell cycle']"
['Dasatinib'],ABL2,"['ErbB signaling pathway', 'Ras signaling pathway']"
['NaN'],ACACA,"['AMPK signaling pathway', 'Insulin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],ACOX1,['cAMP signaling pathway']
['NaN'],ACOX3,['cAMP signaling pathway']
['NaN'],ACSL1,['Adipocytokine signaling pathway']
['NaN'],ACSL3,['Adipocytokine signaling pathway']
['NaN'],ACTB,"['Rap1 signaling pathway', 'Hippo signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],ACTG1,"['Rap1 signaling pathway', 'Hippo signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],ACVR1,['TGF-beta signaling pathway']
['NaN'],ACVR1B,['TGF-beta signaling pathway']
['NaN'],ACVR2A,['TGF-beta signaling pathway']
['NaN'],ADAM17,['Notch signaling pathway']
['NaN'],ADCY3,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Apelin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ADCY6,"['Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Apelin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ADCY7,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Apelin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ADCY9,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Phospholipase D signaling pathway', 'Apelin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ADIPOR1,"['AMPK signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],ADIPOR2,"['AMPK signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],ADORA2B,"['Rap1 signaling pathway', 'Calcium signaling pathway']"
['NaN'],AFDN,"['Ras signaling pathway', 'Rap1 signaling pathway', 'cAMP signaling pathway']"
['NaN'],AGER,['AGE-RAGE signaling pathway in diabetic complications']
['NaN'],AIFM2,['p53 signaling pathway']
['NaN'],AJUBA,['Hippo signaling pathway']
