CELL_LINE_NAME,DRUG_NAME,False AUC,AUC
MDA-MB-436,Tamoxifen,0.859575,0.966082
EFO-21,Leflunomide,0.942186,0.903636
OVCAR-4,Dabrafenib,0.8526969999999999,0.983033
PWR-1E,Afatinib,0.841777,0.888368
HCT-116,Linsitinib,0.8624879999999999,0.959935
SW780,Ulixertinib,0.966059,0.9224485
YAPC,Crizotinib,0.8854069999999999,0.989374
U-118-MG,Afatinib,0.7938475,0.907348
SUP-HD1,Gefitinib,0.943671,0.971931
BICR10,Nilotinib,0.628097,0.972501
D-283MED,Dabrafenib,0.963879,0.988703
PEO1,Erlotinib,0.961433,0.94836
HARA,Lapatinib,0.974084,0.7941729999999999
OACp4C,Linsitinib,0.705342,0.720741
OACp4C,Ruxolitinib,0.824475,0.97423
EW-24,Vinblastine,0.797002,0.857627
769-P,Daporinad,0.98615,0.7820630000000001
BV-173,Ulixertinib,0.927025,0.88956
SK-ES-1,Vinblastine,0.899324,0.579431
HuP-T4,Vinblastine,0.8397399999999999,0.925906
CAMA-1,Vinblastine,0.873909,0.905266
NCI-H727,Trametinib,0.899603,0.444282
OPM-2,Tamoxifen,0.736221,0.976815
NCI-H196,Crizotinib,0.965783,0.992265
SAS,Erlotinib,0.975936,0.8659030000000001
PSN1,Lapatinib,0.693213,0.949032
SW1271,Erlotinib,0.954614,0.971268
NY,Ulixertinib,0.948123,0.85024
D-283MED,Ruxolitinib,0.719969,0.967973
CHL-1,Sorafenib,0.8619600000000001,0.940959
K-562,Nilotinib,0.474502,0.421809
MOG-G-UVW,Trametinib,0.922951,0.884035
CA46,Erlotinib,0.097247,0.938872
MOLT-4,Tamoxifen,0.974316,0.961125
NCI-H2141,Staurosporine,0.9577,0.494478
SK-MG-1,Osimertinib,0.627473,0.957569
NCI-H716,MK-1775,0.988804,0.6555439999999999
CAL-29,Navitoclax,0.969427,0.818555
MKN28,Ruxolitinib,0.976448,0.962714
SNU-423,Sorafenib,0.9784,0.942205
CAMA-1,Afatinib,0.882425,0.954993
CESS,Trametinib,0.9277955,0.948712
BxPC-3,Daporinad,0.7993779999999999,0.793866
HuP-T3,Lapatinib,0.87474,0.923323
TK10,Tamoxifen,0.915102,0.966474
REH,Daporinad,0.911858,0.277468
JHH-1,Erlotinib,0.984929,0.908569
P30-OHK,Navitoclax,0.913249,0.754498
HDQ-P1,Ruxolitinib,0.972755,0.981403
P32-ISH,Crizotinib,0.370906,0.905309
A549,Gefitinib,0.8686809999999999,0.946758
NUGC-3,Osimertinib,0.948982,0.8791180000000001
SU-DHL-8,Sorafenib,0.240195,0.907898
T84,Afatinib,0.894949,0.8879049999999999
TGBC24TKB,Vorinostat,0.96505,0.7602979999999999
LS-123,Osimertinib,0.469416,0.902019
NCI-H1666,Ruxolitinib,0.957197,0.962655
SUP-HD1,Sorafenib,0.8814639999999999,0.88397
ECC12,Leflunomide,0.955003,0.830101
MC-CAR,Erlotinib,0.940693,0.98948
HSC-3,Linsitinib,0.914849,0.969854
SNG-M,Linsitinib,0.960993,0.989272
Saos-2,Osimertinib,0.923764,0.983745
NCI-H2135,Ruxolitinib,0.971634,0.955564
SK-MM-2,Leflunomide,0.802995,0.768536
SKG-IIIa,Lapatinib,0.7679630000000001,0.894127
COR-L32,Vorinostat,0.994274,0.6547350000000001
CAL-33,Ulixertinib,0.910015,0.9348285
MRK-nu-1,Dasatinib,0.894727,0.981763
COR-L88,Erlotinib,0.971761,0.979768
MDA-MB-436,Lapatinib,0.84657,0.961679
NUGC-3,Ulixertinib,0.916577,0.9075925
RCC10RGB,Staurosporine,0.909153,0.396157
SW1463,Staurosporine,0.937563,0.648278
IST-MEL1,Gefitinib,0.858923,0.978612
COLO-320-HSR,Dasatinib,0.8688819999999999,0.985176
MSTO-211H,Staurosporine,0.949857,0.549121
NCI-H1435,Dasatinib,0.8611340000000001,0.975211
NCI-H3118,Ruxolitinib,0.983288,0.9812
EoL-1-cell,Palbociclib,0.224564,0.920017
OV-90,Vinblastine,0.985487,0.767297
NCI-H1688,Erlotinib,0.957757,0.946678
PANC-08-13,Palbociclib,0.166443,0.976234
MKN1,Leflunomide,0.845374,0.917094
SNU-449,Tamoxifen,0.98451,0.905977
COLO-668,Erlotinib,0.467386,0.965244
OVCA420,Erlotinib,0.920431,0.687271
NCI-H2087,Nilotinib,0.726545,0.957373
UACC-257,Tamoxifen,0.94361,0.936922
LU-135,Crizotinib,0.878704,0.994123
DMS-114,Trametinib,0.89515,0.97431
SCC-4,Ruxolitinib,0.775316,0.971349
MDA-MB-361,Vorinostat,0.6758109999999999,0.801599
ATN-1,Lapatinib,0.984606,0.94934
SU-DHL-6,Nilotinib,0.78798,0.962634
HCC1395,Staurosporine,0.977627,0.211669
MLMA,Dabrafenib,0.435083,0.984109
TCCSUP,MK-1775,0.979377,0.667127
IST-MEL1,Daporinad,0.965684,0.712465
G-292-Clone-A141B1,Crizotinib,0.884669,0.988132
OACp4C,Osimertinib,0.8969719999999999,0.95833
HCC-827,Erlotinib,0.4372,0.502491
EPLC-272H,Osimertinib,0.980723,0.902272
8305C,Afatinib,0.957185,0.856735
K5,Trametinib,0.945707,0.6459060000000001
YAPC,Vinblastine,0.6547350000000001,0.929146
PL18,Daporinad,0.861717,0.7050489999999999
KYSE-150,Linsitinib,0.925107,0.951981
NB12,Daporinad,0.8067989999999999,0.5868270000000001
SUP-B15,Dabrafenib,0.708689,0.929111
CAL-120,Staurosporine,0.830024,0.525358
EW-3,Leflunomide,0.862613,0.906663
RL95-2,Vinblastine,0.959251,0.619475
PL4,Ulixertinib,0.994741,0.8619600000000001
GAMG,MK-1775,0.977012,0.7077899999999999
OAW-28,Ruxolitinib,0.919229,0.976475
HCT-116,Ulixertinib,0.972258,0.6727765
KYSE-520,Erlotinib,0.913487,0.740923
NAMALWA,Nilotinib,0.9405495,0.985855
OVCAR-3,Nilotinib,0.774718,0.989131
CAL-29,Staurosporine,0.472303,0.403469
OACp4C,Dabrafenib,0.873649,0.98389
RH-1,Leflunomide,0.910657,0.890175
G-292-Clone-A141B1,MK-1775,0.710864,0.899144
SW780,Ruxolitinib,0.8257110000000001,0.913777
OV-56,Osimertinib,0.961829,0.980046
NCI-H1435,Osimertinib,0.958838,0.988206
Hey,Vorinostat,0.946782,0.795417
GAMG,Staurosporine,0.941768,0.172299
DOHH-2,Afatinib,0.718258,0.945739
NALM-6,Lapatinib,0.909466,0.899474
NCI-H2085,Linsitinib,0.94059,0.969748
BC-1,Erlotinib,0.815171,0.988461
SW1783,Dabrafenib,0.8855940000000001,0.942122
A4-Fuk,Ulixertinib,0.966624,0.6692600000000001
OC-314,Erlotinib,0.7512300000000001,0.974069
RF-48,Ulixertinib,0.94085,0.985549
MIA-PaCa-2,Trametinib,0.972371,0.8369780000000001
NB7,Afatinib,0.377185,0.913149
IGROV-1,Ruxolitinib,0.97386,0.914662
SK-MEL-2,Vorinostat,0.737719,0.778251
SNU-407,Leflunomide,0.906482,0.861353
LS-123,Daporinad,0.787208,0.734394
786-0,Palbociclib,0.913904,0.8736510000000001
SK-HEP-1,Leflunomide,0.882891,0.925509
PFSK-1,Gefitinib,0.956952,0.958999
BFTC-905,Leflunomide,0.7447779999999999,0.921842
JURL-MK1,Dasatinib,0.424948,0.017684000000000002
GI-1,Trametinib,0.527361,0.991786
YAPC,MK-1775,0.651188,0.758709
A101D,Osimertinib,0.485905,0.982019
NCI-H28,Palbociclib,0.937029,0.7841640000000001
Hey,Linsitinib,0.970958,0.957255
ME-180,Tamoxifen,0.920017,0.922614
KMOE-2,Ruxolitinib,0.96812,0.990839
NY,Palbociclib,0.984377,0.978849
EJM,Osimertinib,0.979541,0.986412
K-562,Afatinib,0.809897,0.8880879999999999
UMC-11,Osimertinib,0.9206255,0.970993
P30-OHK,Dasatinib,0.979653,0.8982020000000001
OSC-20,Ruxolitinib,0.953943,0.962987
PANC-10-05,Ulixertinib,0.963439,0.8400555000000001
NCI-H3122,Afatinib,0.8319415000000001,0.874041
SW13,Trametinib,0.5532229999999999,0.815112
YAPC,Staurosporine,0.986506,0.525386
UACC-893,Staurosporine,0.913526,0.472051
SU-DHL-5,Trametinib,0.46175,0.981295
HLE,Navitoclax,0.92064,0.7733720000000001
CW-2,Linsitinib,0.9439545,0.948543
COLO-829,Nilotinib,0.900359,0.94991
KYSE-520,MK-1775,0.953708,0.7552949999999999
ES8,Osimertinib,0.975116,0.93941
ESS-1,Vinblastine,0.818347,0.573968
CAL-33,Dasatinib,0.8548040000000001,0.7794260000000001
PWR-1E,Lapatinib,0.628043,0.977316
NOS-1,Trametinib,0.989087,0.917405
D-392MG,Staurosporine,0.976857,0.237997
NCI-H1793,Tamoxifen,0.983554,0.92004
ECC10,Ruxolitinib,0.166963,0.98938
MDA-MB-436,Afatinib,0.8986370000000001,0.963653
CAL-85-1,Daporinad,0.8847079999999999,0.642303
SK-GT-2,Linsitinib,0.977223,0.985426
NCI-H1688,Palbociclib,0.97355,0.984436
NCI-H520,Leflunomide,0.392834,0.917818
RPMI-7951,Crizotinib,0.98705,0.972204
8505C,Tamoxifen,0.898775,0.902633
KYM-1,Sorafenib,0.912672,0.873627
YT,Vorinostat,0.994059,0.7512300000000001
HH,MK-1775,0.850327,0.906829
